Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "http://cloc.sourceforge.net v 1.60 T=30.8846831321716 s"
C/C++ Header, 164, 1, 1, 0, 0, 0, 17, 0, 12060, 0, 0, 0, 34051, 0, 102, 0, 
C, 722, 8, 1, 0, 0, 0, 104, 0, 53208, 0, 18, 0, 184859, 9, 558, 5, 
