Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "http://cloc.sourceforge.net v 1.60 T=20.4966380596161 s"
C/C++ Header, 96, 0, 0, 0, 0, 0, 0, 0, 841, 0, 0, 0, 7400, 0, 0, 0, 
C, 183, 1, 0, 0, 0, 0, 0, 0, 4099, 0, 0, 0, 111151, 0, 8, 0, 
